List 1,List 2,List 1|List 2
FGR,CLEC12A,CYP51A1
CFTR,TMEM176A,LAP3
CD38,NFXL1,RECQL
FKBP4,ERAP2,SLC22A16
CAMKK1,FAM118A,MPO
ABCB5,LGALS2,ABCB4
CALCR,CENPK,ITGAL
PON1,S100P,MAP3K9
ITGA2B,ZNF266,MARK4
ABCC8,KIAA1324,PSMB1
CACNA1G,SPATA20,MGST1
TNFRSF12A,PEX6,CD4
TBXA2R,PRUNE2,ALOX5
NOS2,MYOM2,CD6
SLC13A2,C1orf85,BIRC3
MATK,ACTA2,VRK2
CD79B,CCDC23,FLT4
SCN4A,KIAA1598,ADRB1
CACNA2D2,PAPSS1,LAMC3
SELE,LRRC6,MAPK9
FMO3,MFN2,RIOK2
CDKL5,DIP2A,TBXAS1
GIPR,ANKDD1A,HAGH
NISCH,LCLAT1,CASP8
BTK,C17orf97,LPAR2
FYN,TREML3P,CALCRL
FMO1,CHURC1,SLK
MAP4K3,TMTC1,GSTO2
GABRA3,CLEC4F,CDK13
CD22,DCTN5,SLC9A3
NR1H4,TACSTD2,FGFR2
MAP4K5,CDC16,TNFRSF1A
CLK1,AFAP1,HDAC4
DPEP1,DDX11,GUCY2C
NPC1L1,GSDMB,RPS6KA2
CLCA1,TUFM,TFRC
CLCA4,PGM5,FCGR2B
IGF1,RP11-27I1.2,DHRS9
ATP1A2,TREML4,PTGS2
CYP24A1,CDS2,NUAK1
CD74,METTL21B,SLC12A1
HGF,SMG5,TXK
CYP3A43,CLEC12B,MARK3
CPS1,HIP1,PLD1
GABRA1,SKAP2,FMO4
ABCC2,CEP192,ICAM3
VIM,ERV3-1,IL4R
CD44,GRHPR,FGFR1
SLAMF7,FLVCR1-AS1,MKNK1
PRKCH,JUP,FDFT1
IFNGR1,PAQR6,PSEN1
MUSK,NT5DC3,HSP90AA1
MAP2K3,RRP12,STK17B
DAPK2,RPS23,GSK3B
CYP46A1,PILRB,ULK2
CASR,IPO8,AKR1B1
TNC,PADI2,MGST2
TDP1,LRRC8B,HSD17B14
EPHA3,NAPSB,FKBP1A
ROS1,NT5C3B,IRAK3
HDAC9,FN3KRP,ABCC6
TNFRSF9,CHCHD2,SLC7A8
SRD5A2,NTPCR,SLC22A17
PTGER3,COG5,COMT
PIK3CB,BBS2,SRPK1
LAMA3,SPATA5L1,SIRT1
KCNQ1,SH3YL1,JAK2
KCNH2,ZNF641,IL12RB1
F7,PLA2G16,NRP1
LAMC2,HOXB2,MKNK2
CAMK2B,BTNL3,CYP2D6
HDAC7,AHI1,CYB5R3
GUCY1B3,MAN2C1,ARSA
TNK2,NKX3-1,GSTZ1
CDH3,STYXL1,DHRS7
LTK,CPNE1,RPS6KA5
POLD1,VNN1,PSMB5
NGFR,CRYZ,MMP9
HIPK2,RPH3A,CD40
PKN2,TRIM66,NTSR1
GLP2R,GBP3,HCK
ERBB3,CTNNA1,TNFSF13B
MYLK,DDT,FLT1
MAP2K4,MARCO,DHRS12
PRKCQ,TMEM8A,MSLN
PDE4A,PYGB,MAPK3
TIE1,TAGLN,ABCC1
CLDN18,XRRA1,LACTB
PKM,NMRK1,CSK
PRKCZ,TPM2,CA2
ROCK1,GM2A,RIPK2
FGFR3,CBS,GSR
ABCC9,FAM117B,TNFRSF10A
MAOB,ASNSD1,MAN2B1
DRD4,TRMT12,KCNN4
PLA2G10,NSG1,TUBB4A
CHAT,UHRF1BP1,CD37
CAMK2A,ORMDL3,FCER2
EPHA8,ZNF589,DMPK
SLC12A3,POMZP3,PRKD2
MAP4K4,MRPL21,CD33
PRKACA,SPSB2,TYK2
RPS6KA6,RAD51C,PON2
ALDH3A2,NAPRT1,AHR
HSD17B10,CIB1,C5
MARK2,RP4-564F22.2,ENG
STK10,SFXN4,MAPK8
PDE8A,GCC2,P2RX1
ABCB11,STX2,CHRNE
MAP3K13,KRT1,ABCC3
TSG101,DGKQ,PMP22
CA12,FHL3,NFKB1
KCNQ2,SEPT2,DCPS
TACR2,RPL22L1,CD5
FGF4,GLT25D2,SLC22A18
MCAM,NEBL,VWF
MAP2K7,TRAPPC4,CAMKK2
RARB,FADS2,LTA4H
TOP2B,C22orf32,ALDH2
