id	logFC	AveExpr	t	P.Value	adj.P.Val	B
SLC6A14	4.61089249267987	9.55702561835749	28.4646935701956	1.1961212356653e-99	1.94381662007968e-95	216.664965469183
TIMP1	2.06837466634134	10.6879290797101	26.3069424022604	1.72690640171518e-90	1.40319779671367e-86	195.703030140873
SLC23A1	-1.98873072399609	6.70901045410628	-25.0364063626662	5.27642119424765e-85	2.6373591880235e-81	183.145420736058
LPCAT1	1.46249100732013	9.71410363768116	25.0156735806544	6.49156159749801e-85	2.6373591880235e-81	182.939325335999
AQP7	-1.32798467672895	6.49860954347826	-24.3672562758501	4.3141613178848e-82	1.40218871153892e-78	176.476154115581
NAT8B	-1.74456343704685	6.02811758454106	-24.3293557526705	6.3140782254181e-82	1.71016808735449e-78	176.097362094803
ABCG2	-3.28762633519241	7.38630297101449	-23.8246769273661	1.01671869890228e-79	2.36038508226585e-76	171.043433121965
SLC19A3	-1.42852710561907	6.22799399758454	-23.7591019407626	1.97020483253555e-79	4.0022248416919e-76	170.385444057941
RBPMS	1.17541366194925	7.9558440410628	23.4566678347044	4.17991181531642e-78	7.54752743452302e-75	167.347101454352
PRKG2	-2.27251313817624	4.96567424637681	-23.4020908732174	7.25838885449978e-78	1.17956077274476e-74	166.7981820802
ACOX1	-1.26161786921361	9.26210852173913	-23.2869782043711	2.32600689553229e-77	3.43635800539047e-74	165.639810500921
ABCB1	-2.21296727948968	7.35688843478261	-23.0877098259211	1.74958567914001e-76	2.36937640597536e-73	163.632715928528
CXCL1	3.10316891271612	10.0984662657005	23.0780936364857	1.92863160447208e-76	2.41093786186737e-73	163.535800374317
RUNDC3B	-1.43940040302565	6.31701781884058	-23.0701848319566	2.08954644519457e-76	2.42551566291835e-73	163.456088545712
PI3	2.56527349972113	10.8035622004831	22.8928679609717	1.26103531345939e-75	1.3662056586019e-72	161.668018600875
SLC38A4	-1.97889581413831	4.92657506763285	-22.6294234092115	1.8277597327205e-74	1.85643271352756e-71	159.008339419843
DUOX2	4.08014885262131	10.8408314492754	22.5474426470965	4.20312539833711e-74	4.01794063813979e-71	158.179966416862
SLC25A34	-1.37944467868098	7.39264449033816	-22.4571960397338	1.05159509692143e-73	9.49415106670565e-71	157.267699582424
SLC22A5	-1.58500950801729	8.22839350966184	-22.2794552700393	6.40794863424822e-73	5.48081964500883e-70	155.469899381708
BACE2	1.16577010192415	10.3448329903382	22.2672346080491	7.25612982968054e-73	5.76700361373849e-70	155.346239501594
