ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006959	humoral immune response	61/632	309/18805	0.197411003236246	5.87391442382532	16.1097417344269	9.62820255406563e-30	4.49829623325946e-26	3.25331896826849e-26	CXCL1/PI3/CD55/C2/CXCL3/CXCL2/NPY/MMP7/CFB/LEAP2/C4BPB/IL1B/C1R/SERPING1/DEFB1/GPR183/ADM/CXCL9/S100A9/CFI/CXCL11/C3/CCL2/SLPI/C4BPA/C4B/POU2AF1/CXCL6/PTPRC/CXCL10/C1S/REG1A/CCL18/CCR6/DMBT1/LYZ/REG3A/CCL4/CCL20/CR1/CCL3/IFNG/TREM1/CCL11/CFH/CCL3L3/S100A12/FCGR2B/REG1B/CXCL5/CXCL13/S100A7/IL6/DEFA6/CCR7/DEFA5/LTF/CCL19/MS4A1/CCL21/CR2	61
BP	GO:0002237	response to molecule of bacterial origin	63/632	379/18805	0.16622691292876	4.94603971143248	14.472243804409	2.59292078085317e-26	6.05706294407301e-23	4.38067142449405e-23	CD55/C2/IRAK3/FGFR2/CXCL2/TNIP3/PCK2/HMGCS2/MMP3/UGT1A1/IDO1/S100A8/ZC3H12A/SELP/LYN/IL1B/SLC7A5/PDE4B/VCAM1/MMP9/NOS2/ADM/CXCL9/GBP5/CLDN1/PCSK1/CCL2/CSF2RB/VIM/SLPI/LILRB2/C4B/LILRB1/CXCL6/CXCL10/IL1A/NR1H4/CD86/LY96/ALPL/PTGS2/HPGD/CD180/CD274/SOD2/BTK/KMO/SERPINE1/SELE/FOS/FCGR2B/CXCL5/CXCL13/S100A7/IL6/DEFA6/CCR7/IL24/DEFA5/WNT5A/LTF/TLR10/STAP1	63
BP	GO:0050900	leukocyte migration	64/632	395/18805	0.162025316455696	4.82102227207178	14.3127000462735	4.46624405559779e-26	6.95543074258428e-23	5.03040119946277e-23	CXCL3/PECAM1/ANXA1/S100A8/SELP/MSN/LYN/IL1B/IL33/THY1/RAC2/PADI2/SAA1/PDE4B/VCAM1/FYN/ICAM1/GPR183/CXCL9/S100A9/CHST2/CXCL11/CH25H/CCL2/CD34/EDN3/ITGB2/CXCL6/CXCL10/IL1A/SLAMF1/SELL/CXCL17/CXCR2/CCR6/CXCR4/CCL4/GREM1/MCOLN2/CCL20/CSF3R/CCL3/SERPINE1/TREM1/CCL11/CORO1A/SELE/ST3GAL4/S100A12/CXCR1/FPR2/FFAR2/TNFAIP6/CXCL5/FCER1G/CXCL13/S100A7/IL6/CCR7/WNT5A/CCL19/STAP1/CCL21/CD177	64
BP	GO:0032496	response to lipopolysaccharide	59/632	357/18805	0.165266106442577	4.91745115767826	13.9358479949273	1.48084572500362e-24	1.72962780680423e-21	1.25092494138464e-21	CD55/C2/IRAK3/FGFR2/TNIP3/PCK2/HMGCS2/MMP3/UGT1A1/IDO1/S100A8/ZC3H12A/SELP/LYN/IL1B/SLC7A5/PDE4B/VCAM1/MMP9/NOS2/ADM/CXCL9/GBP5/CLDN1/PCSK1/CCL2/CSF2RB/VIM/SLPI/LILRB2/LILRB1/CXCL6/CXCL10/IL1A/NR1H4/CD86/LY96/ALPL/PTGS2/HPGD/CD180/CD274/SOD2/BTK/KMO/SERPINE1/SELE/FOS/CXCL5/CXCL13/S100A7/IL6/DEFA6/CCR7/IL24/DEFA5/WNT5A/LTF/STAP1	59
BP	GO:0060326	cell chemotaxis	55/632	325/18805	0.169230769230769	5.03541869522882	13.6851526416138	1.83119015660459e-23	1.43268108681452e-20	1.03616309676338e-20	CXCL3/SEMA5A/ANXA1/S100A8/LYN/IL1B/RAC2/PADI2/SAA1/PDE4B/VCAM1/GPR183/CXCL9/S100A9/CXCL11/CH25H/CCL2/EDN3/ITGB2/CXCL6/CXCL10/SLAMF1/KDR/PDGFRB/CXCL17/CXCR2/CCL18/CCR6/CXCR4/CCL4/GREM1/CCL20/CSF3R/HGF/CCL3/SERPINE1/TREM1/CCL11/CORO1A/CCL3L3/S100A12/CXCR1/FPR2/FFAR2/TNFAIP6/CXCL5/FCER1G/CXCL13/S100A7/IL6/CCR7/WNT5A/CCL19/STAP1/CCL21	55
BP	GO:0030595	leukocyte chemotaxis	47/632	234/18805	0.200854700854701	5.97638077464027	14.2848023076586	1.83991577929947e-23	1.43268108681452e-20	1.03616309676338e-20	CXCL3/ANXA1/S100A8/LYN/IL1B/RAC2/PADI2/SAA1/PDE4B/GPR183/CXCL9/S100A9/CXCL11/CH25H/CCL2/EDN3/ITGB2/CXCL6/CXCL10/SLAMF1/CXCL17/CXCR2/CCR6/CXCR4/CCL4/GREM1/CSF3R/CCL3/SERPINE1/TREM1/CCL11/CORO1A/S100A12/CXCR1/FPR2/FFAR2/TNFAIP6/CXCL5/FCER1G/CXCL13/S100A7/IL6/CCR7/WNT5A/CCL19/STAP1/CCL21	47
BP	GO:0006935	chemotaxis	65/632	466/18805	0.139484978540773	4.15034022382789	12.8420080714167	9.20780021964424e-23	6.14554894659684e-20	4.44466747444481e-20	CXCL1/CXCL3/SEMA5A/CXCL2/ANXA1/S100A8/LYN/IL1B/RAC2/PADI2/SAA1/PDE4B/VCAM1/DEFB1/PLAU/GPR183/CXCL9/S100A9/CXCL11/CH25H/CCL2/EDN3/ITGB2/ANGPT2/FPR1/ROBO1/CXCL6/CXCL10/SLAMF1/KDR/PDGFRB/CXCL17/CXCR2/PLAUR/CCL18/CCR6/CXCR4/CCL4/GREM1/ENPP2/CCL20/CSF3R/PROK2/HGF/CCL3/SERPINE1/TREM1/CCL11/CORO1A/CCL3L3/S100A12/CXCR1/FPR2/FFAR2/TNFAIP6/CXCL5/FCER1G/CXCL13/S100A7/IL6/CCR7/WNT5A/CCL19/STAP1/CCL21	65
BP	GO:0042330	taxis	65/632	468/18805	0.138888888888889	4.13260372714487	12.797778564857	1.16797988931659e-22	6.82100255360889e-20	4.93317821671876e-20	CXCL1/CXCL3/SEMA5A/CXCL2/ANXA1/S100A8/LYN/IL1B/RAC2/PADI2/SAA1/PDE4B/VCAM1/DEFB1/PLAU/GPR183/CXCL9/S100A9/CXCL11/CH25H/CCL2/EDN3/ITGB2/ANGPT2/FPR1/ROBO1/CXCL6/CXCL10/SLAMF1/KDR/PDGFRB/CXCL17/CXCR2/PLAUR/CCL18/CCR6/CXCR4/CCL4/GREM1/ENPP2/CCL20/CSF3R/PROK2/HGF/CCL3/SERPINE1/TREM1/CCL11/CORO1A/CCL3L3/S100A12/CXCR1/FPR2/FFAR2/TNFAIP6/CXCL5/FCER1G/CXCL13/S100A7/IL6/CCR7/WNT5A/CCL19/STAP1/CCL21	65
BP	GO:0097530	granulocyte migration	36/632	149/18805	0.241610738255034	7.18906634950302	14.1442314169687	4.41040823024237e-21	2.28949191685471e-18	1.65583747591556e-18	CXCL3/PECAM1/ANXA1/S100A8/IL1B/RAC2/SAA1/PDE4B/CXCL9/S100A9/CCL2/EDN3/ITGB2/CXCL6/CXCL10/IL1A/SLAMF1/CXCL17/CXCR2/CCL4/MCOLN2/CSF3R/CCL3/TREM1/CCL11/S100A12/CXCR1/TNFAIP6/CXCL5/FCER1G/CXCL13/S100A7/CCR7/CCL19/CCL21/CD177	36
BP	GO:0071621	granulocyte chemotaxis	32/632	122/18805	0.262295081967213	7.80452376011621	14.0612746276362	4.80568955287406e-20	2.24521815910276e-17	1.62381720681324e-17	CXCL3/ANXA1/S100A8/IL1B/RAC2/SAA1/PDE4B/CXCL9/S100A9/CCL2/EDN3/ITGB2/CXCL6/CXCL10/SLAMF1/CXCL17/CXCR2/CCL4/CSF3R/CCL3/TREM1/CCL11/S100A12/CXCR1/TNFAIP6/CXCL5/FCER1G/CXCL13/S100A7/CCR7/CCL19/CCL21	32
