category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	26/433	100/9564	0.26	5.74281755196305	10.3819971966773	1.69335345037699e-13	5.1816615581536e-11	4.04622350774292e-11	CXCL1/CXCL3/CXCL2/CXCL9/CXCL11/CCL2/CXCL6/CXCL10/CXCR2/CCL18/CCR6/IL2RA/CXCR4/CCL4/CCL20/CCL3/CCL11/CCL3L3/CXCR1/CXCL5/CXCL13/IL6/CCR7/IL24/CCL19/CCL21	26
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	25/433	95/9564	0.263157894736842	5.81256837243224	10.2652259143708	3.71526452573644e-13	5.68435472437676e-11	4.43876340706407e-11	CXCL1/CXCL3/CXCL2/MMP3/HLA-DMA/CTSK/IL1B/HLA-DRA/CTLA4/ICAM1/CCL2/MMP1/ITGB2/CXCL6/IL1A/CD86/CCL20/HLA-DOB/CCL3/IFNG/CCL3L3/FOS/CXCL5/IL6/HLA-DRB5	25
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	25/433	102/9564	0.245098039215686	5.41366662138296	9.75865568595949	2.12499290817608e-12	2.1674927663396e-10	1.69253821107358e-10	C2/HLA-DMA/CFB/KRT12/SELP/C1R/HLA-DRA/ICAM1/DEFB1/CFI/C3/ITGB2/FPR1/C4B/FCGR3A/C1S/HLA-DOB/CFH/FCGR1A/FCGR2B/FPR2/DEFA6/FCGR2A/DEFA5/HLA-DRB5	25
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	43/433	298/9564	0.144295302013423	3.18715997334036	8.35265201097176	9.17183747365125e-12	7.0164556673432e-10	5.4789660697864e-10	CXCL1/BMP3/CXCL3/CNTFR/CXCL2/IL1RN/OSMR/IL1B/IL33/ACVR1C/CXCL9/CXCL11/CCL2/CSF2RB/CXCL6/CXCL10/IL1A/TNFRSF9/IL7R/CXCL17/CXCR2/CCL18/CD27/CCR6/IL2RA/CXCR4/CCL4/CCL20/IL13RA2/CSF3R/CCL3/IFNG/CCL11/CCL3L3/CXCR1/CXCL5/CXCL13/IL6/CCR7/IL24/CCL19/INHBA/CCL21	43
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	22/433	88/9564	0.25	5.52193995381062	9.27973246848569	3.01139596694511e-11	1.84297433177041e-09	1.43913028315061e-09	CD55/C2/CFB/C4BPB/C1R/SERPINA1/SERPING1/PLAU/CFI/C3/ITGB2/C4BPA/ITGAX/C4B/VWF/C1S/PLAUR/CR1/SERPINE1/TFPI/CFH/CR2	22
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	23/433	100/9564	0.23	5.08018475750577	8.93149826031517	6.69895555089853e-11	3.41646733095825e-09	2.66782966676134e-09	CD55/CD44/HLA-DMA/IL1B/ITGA5/HLA-DRA/ANPEP/CD38/CD34/IL1A/IL7R/IL2RA/CR1/HLA-DOB/CSF3R/MME/FCGR1A/CD37/IL6/MS4A1/HLA-DRB5/CD22/CR2	23
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	22/433	95/9564	0.231578947368421	5.11506016774037	8.77743836639454	1.52106406816988e-10	6.64922292657121e-09	5.19220366127163e-09	CXCL1/LCN2/CXCL3/CXCL2/MMP3/S100A8/IL1B/MMP9/S100A9/CCL2/MMP1/CXCL6/CXCL10/CCL20/PTGS2/IFNG/CCL11/FOS/CXCL5/S100A7/IL6/FOSB	22
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	18/433	78/9564	0.230769230769231	5.09717534197904	7.91174253959222	7.74883915415798e-09	2.96393097646543e-07	2.31445590525508e-07	C2/C4BPB/IL1B/ITGA5/C1R/NOS2/SERPING1/C3/ITGB2/C4BPA/C4B/CXCL6/C1S/IL1A/LY96/FOS/CXCL5/IL6	18
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	18/433	79/9564	0.227848101265823	5.03265413511854	7.83732232949807	9.62298330180778e-09	3.27181432261465e-07	2.55487392925189e-07	HLA-DMA/STAT1/IL1B/HLA-DRA/NOS2/NCF2/C3/ITGB2/FCGR3A/IL1A/PTGS2/CR1/HLA-DOB/IFNG/FCGR1A/FOS/FCGR2A/HLA-DRB5	18
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	19/433	103/9564	0.184466019417476	4.07444113096706	6.83121772516226	1.41758042918665e-07	4.18936091658393e-06	3.27136198164621e-06	CXCL1/CXCL3/GNA15/CXCL2/IL1B/COL4A1/NOS2/COL1A2/GNA11/LAMC1/SERPINB9/COL1A1/ITGB2/COL3A1/IFNG/FN1/IL6/SERPINB3/SERPINB4	19
