glycolysis,WGCNA,DEGs,glycolysis|DEGs,WGCNA|DEGs,glycolysis|WGCNA|DEGs
AHNAK,AHCYL2,SLC23A1,ENPP2,A1CF,DDC
ALCAM,BASP1,AQP7,ST3GAL1,ABCB1,TSPAN7
ANKRD40,CD80,NAT8B,VWF,ABCG2,LCN2
ARID1A,CDH17,RBPMS,PITX2,ACADS,RHOU
BCKDHB,CDX2,PRKG2,DCN,ACSF2,SOCS3
C16orf89,CTHRC1,ACOX1,TREH,ACSL4,ANXA1
CAPN9,CYP2J2,SLC38A4,CALU,ACVR1C,SERPINA1
CD24,DENND5A,BACE2,SOD2,ADAMTS9,CHST2
CYFIP1,DOCK11,SLC36A1,CST7,AMACR,FGR
DCAF11,DOCK8,ASPHD2,IFNG,ANGPT2,PDE6A
EFNA2,EMP3,ETFDH,INSL5,ANGPTL2,TRPM6
FOXA2,FAM129A,NAALADL1,PDK2,AQP11,CATSPERB
GRIA2,FERMT2,SLC23A3,SERPINB3,BGN,MOGAT2
HK2,FMNL3,PARP8,SLC6A6,BMP3,SERPING1
HOXC9,FXYD3,IFITM3,TCL1A,C1R,KDELR3
ITGA6,OCLN,GCNT2,CD27,C1orf210,ME1
KLRB1,PREX1,MEP1B,IL2RA,C2orf88,VLDLR
LIMS1,PRKCDBP,DPP10,ALDOB,C4B,PCK1
MTSS2,S1PR1,S100P,SLC16A1,CCDC3,MAOA
OSTF1,SLC2A14,PLA2G12B,SLC5A12,CD93,ADH1C
PELI1,ST8SIA4,CNTFR,CD44,CDHR5,ADH6
REXO2,TCEA3,DEPDC7,CXCR4,CDKN2B,PFKFB3
STEEP1,TRPS1,CDC14A,FUT8,CES2,SLC2A3
SUCLA2,,FGFR2,SPAG4,CHAD,PPARG
SYTL4,,LIPC,SRD5A3,CHI3L1,
ACAA2,,SLC25A20,STC1,CHI3L2,
ALDOC,,B4GALNT2,TGFBI,CHN1,
ANXA8L1,,CCNJL,VCAN,CHP2,
BCL3,,CNTN4,PCK2,CHRDL2,
CEBPB,,RBKS,SLC16A4,CHST11,
CXCL14,,CPT1A,,CHST15,
CYB561,,PHYH,,CMBL,
ELF3,,BHLHE40,,CNGA1,
FBP1,,SEMA5A,,COL4A1,
FGG,,C7orf31,,COL6A3,
GPCPD1,,APOBEC3B,,CSF2RB,
GPX3,,GBA3,,CTLA4,
GRAMD2B,,ANXA5,,CTSK,
HAS1,,NAT8,,CYP2B6,
IL1R1,,NPY,,CYP4F12,
IRF1,,C1orf115,,CYTIP,
KLF10,,NAAA,,DHRS11,
KNG1,,CROT,,DRAM1,
LBP,,HSD3B2,,DUSP4,
LRG1,,ANK3,,DYSF,
MAN1A1,,LRRN2,,EBF1,
MPO,,RAVER2,,EDN3,
NMI,,TRIM29,,EFNA1,
PSMB8,,SLC6A4,,ENPP1,
PTPN1,,CHN2,,ENTPD1,
RASA3,,PPP2R3A,,ENTPD5,
RGS4,,ELK3,,EPHX2,
RNASE2,,SLC39A2,,EXPH5,
SCT,,PTPN13,,FABP1,
SQOR,,CYP27A1,,FADS1,
STAT3,,GPX8,,FAM49A,
TAPBP,,ELL2,,FAP,
TMEM176A,,PTGR1,,FBN1,
TMEM176B,,SLFN5,,FCRL5,
TNFRSF1A,,GRAMD1C,,FMO4,
TSPAN4,,LEAP2,,FMO5,
UPP1,,NPY1R,,FRMD1,
XBP1,,KRT12,,FSTL1,
CGA,,G6PC,,FYN,
CITED2,,ACOX2,,GALNT12,
NALCN,,STAT1,,GDPD2,
