"gene","cohort","auc_oriented","discovery_direction"
"PDE6A","GSE47908",0.938461538461538,"UC_down"
"PDE6A","GSE13367",0.864705882352941,"UC_down"
"PPARG","GSE47908",0.935042735042735,"UC_down"
"PPARG","GSE13367",0.729411764705882,"UC_down"
"ADH6","GSE47908",0.92991452991453,"UC_down"
"ADH6","GSE13367",0.847058823529412,"UC_down"
"LCN2","GSE47908",0.988034188034188,"UC_up"
"LCN2","GSE13367",0.858823529411765,"UC_up"
"VLDLR","GSE47908",0.847863247863248,"UC_down"
"VLDLR","GSE13367",0.658823529411765,"UC_down"
"SLC2A3","GSE47908",0.88034188034188,"UC_up"
"SLC2A3","GSE13367",0.711764705882353,"UC_up"
"TRPM6","GSE47908",0.88034188034188,"UC_down"
"TRPM6","GSE13367",0.852941176470588,"UC_down"
"KDELR3","GSE47908",0.931623931623932,"UC_up"
"KDELR3","GSE13367",0.788235294117647,"UC_up"
