"sample","cohort","set","label","subgroup"
"GSM2869369","GSE107499","discovery",0,"Control"
"GSM2869370","GSE107499","discovery",0,"Control"
"GSM2869371","GSE107499","discovery",0,"Control"
"GSM2869372","GSE107499","discovery",0,"Control"
"GSM2869373","GSE107499","discovery",0,"Control"
"GSM2869374","GSE107499","discovery",0,"Control"
"GSM2869375","GSE107499","discovery",0,"Control"
"GSM2869376","GSE107499","discovery",0,"Control"
"GSM2869377","GSE107499","discovery",0,"Control"
"GSM2869378","GSE107499","discovery",0,"Control"
"GSM2869379","GSE107499","discovery",0,"Control"
"GSM2869380","GSE107499","discovery",0,"Control"
"GSM2869381","GSE107499","discovery",0,"Control"
"GSM2869382","GSE107499","discovery",0,"Control"
"GSM2869383","GSE107499","discovery",0,"Control"
"GSM2869384","GSE107499","discovery",0,"Control"
"GSM2869385","GSE107499","discovery",0,"Control"
"GSM2869386","GSE107499","discovery",0,"Control"
"GSM2869387","GSE107499","discovery",0,"Control"
"GSM2869388","GSE107499","discovery",0,"Control"
"GSM2869389","GSE107499","discovery",0,"Control"
"GSM2869390","GSE107499","discovery",0,"Control"
"GSM2869432","GSE107499","discovery",0,"Control"
"GSM2869433","GSE107499","discovery",0,"Control"
"GSM2869434","GSE107499","discovery",0,"Control"
"GSM2869435","GSE107499","discovery",0,"Control"
"GSM2869436","GSE107499","discovery",0,"Control"
"GSM2869437","GSE107499","discovery",0,"Control"
"GSM2869438","GSE107499","discovery",0,"Control"
"GSM2869439","GSE107499","discovery",0,"Control"
"GSM2869440","GSE107499","discovery",0,"Control"
"GSM2869441","GSE107499","discovery",0,"Control"
"GSM2869442","GSE107499","discovery",0,"Control"
"GSM2869443","GSE107499","discovery",0,"Control"
"GSM2869444","GSE107499","discovery",0,"Control"
"GSM2869445","GSE107499","discovery",0,"Control"
"GSM2869446","GSE107499","discovery",0,"Control"
"GSM2869447","GSE107499","discovery",0,"Control"
"GSM2869448","GSE107499","discovery",0,"Control"
"GSM2869449","GSE107499","discovery",0,"Control"
"GSM2869450","GSE107499","discovery",0,"Control"
"GSM2869451","GSE107499","discovery",0,"Control"
"GSM2869452","GSE107499","discovery",0,"Control"
"GSM2869453","GSE107499","discovery",0,"Control"
"GSM1900150","GSE73661","discovery",0,"Control"
"GSM1900151","GSE73661","discovery",0,"Control"
"GSM1900152","GSE73661","discovery",0,"Control"
"GSM1900153","GSE73661","discovery",0,"Control"
"GSM1900159","GSE73661","discovery",0,"Control"
"GSM1900211","GSE73661","discovery",0,"Control"
"GSM1900221","GSE73661","discovery",0,"Control"
"GSM1900222","GSE73661","discovery",0,"Control"
"GSM1900223","GSE73661","discovery",0,"Control"
"GSM1900224","GSE73661","discovery",0,"Control"
"GSM1900225","GSE73661","discovery",0,"Control"
"GSM1900226","GSE73661","discovery",0,"Control"
"GSM1426079","GSE75214","discovery",0,"Control"
"GSM1426080","GSE75214","discovery",0,"Control"
"GSM1426081","GSE75214","discovery",0,"Control"
"GSM1426082","GSE75214","discovery",0,"Control"
"GSM1426083","GSE75214","discovery",0,"Control"
"GSM1426084","GSE75214","discovery",0,"Control"
"GSM1426085","GSE75214","discovery",0,"Control"
"GSM1426086","GSE75214","discovery",0,"Control"
"GSM1426087","GSE75214","discovery",0,"Control"
"GSM1426088","GSE75214","discovery",0,"Control"
"GSM1426089","GSE75214","discovery",0,"Control"
"GSM2332098","GSE87466","discovery",0,"Control"
"GSM2332099","GSE87466","discovery",0,"Control"
"GSM2332100","GSE87466","discovery",0,"Control"
"GSM2332101","GSE87466","discovery",0,"Control"
"GSM2332102","GSE87466","discovery",0,"Control"
"GSM2332103","GSE87466","discovery",0,"Control"
"GSM2332104","GSE87466","discovery",0,"Control"
"GSM2332105","GSE87466","discovery",0,"Control"
"GSM2332106","GSE87466","discovery",0,"Control"
"GSM2332107","GSE87466","discovery",0,"Control"
"GSM2332108","GSE87466","discovery",0,"Control"
"GSM2332109","GSE87466","discovery",0,"Control"
"GSM2332110","GSE87466","discovery",0,"Control"
"GSM2332111","GSE87466","discovery",0,"Control"
"GSM2332112","GSE87466","discovery",0,"Control"
"GSM2332113","GSE87466","discovery",0,"Control"
"GSM2332114","GSE87466","discovery",0,"Control"
"GSM2332115","GSE87466","discovery",0,"Control"
"GSM2332116","GSE87466","discovery",0,"Control"
"GSM2332117","GSE87466","discovery",0,"Control"
"GSM2332118","GSE87466","discovery",0,"Control"
"GSM2869335","GSE107499","discovery",1,"UC"
"GSM2869336","GSE107499","discovery",1,"UC"
"GSM2869337","GSE107499","discovery",1,"UC"
"GSM2869338","GSE107499","discovery",1,"UC"
"GSM2869339","GSE107499","discovery",1,"UC"
