"heldout_cohort","selector","genes","n_genes"
"GSE73661","all","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG",24
"GSE73661","lasso","LCN2;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;PPARG",7
"GSE73661","enet_025","LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;VLDLR;ADH6;PFKFB3;SLC2A3;PPARG",16
"GSE73661","enet_050","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG",18
"GSE73661","enet_075","LCN2;SOCS3;SERPINA1;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;SLC2A3;PPARG",10
"GSE73661","univ_top5","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6",5
"GSE73661","univ_top10","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6;PPARG;SOCS3;CHST2;MAOA;PCK1",10
"GSE73661","rf_top5","PDE6A;PPARG;LCN2;ADH1C;ADH6",5
"GSE73661","rf_top10","PDE6A;LCN2;PPARG;ADH6;ADH1C;KDELR3;SERPINA1;SERPING1;RHOU;SLC2A3",10
"GSE75214","all","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG",24
"GSE75214","lasso","LCN2;TRPM6;SERPING1;KDELR3;VLDLR;PPARG",6
"GSE75214","enet_025","LCN2;RHOU;CHST2;PDE6A;TRPM6;VLDLR;PCK1;ADH6;PPARG",9
"GSE75214","enet_050","DDC;LCN2;RHOU;SERPINA1;CHST2;PDE6A;TRPM6;SERPING1;KDELR3;VLDLR;PCK1;ADH6;PPARG",13
"GSE75214","enet_075","LCN2;RHOU;CHST2;PDE6A;TRPM6;SERPING1;KDELR3;VLDLR;ADH6;PPARG",10
"GSE75214","univ_top5","SLC2A3;ADH1C;ADH6;TRPM6;PDE6A",5
"GSE75214","univ_top10","SLC2A3;ADH1C;ADH6;TRPM6;PDE6A;PPARG;PCK1;SOCS3;CHST2;MAOA",10
"GSE75214","rf_top5","LCN2;ADH1C;PDE6A;RHOU;PPARG",5
"GSE75214","rf_top10","LCN2;ADH1C;PPARG;PDE6A;RHOU;SLC2A3;ADH6;VLDLR;TRPM6;PCK1",10
"GSE87466","all","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG",24
"GSE87466","lasso","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;TRPM6;SERPING1;KDELR3;VLDLR;ADH6;SLC2A3;PPARG",12
"GSE87466","enet_025","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG",19
"GSE87466","enet_050","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;PDE6A;TRPM6;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG",16
"GSE87466","enet_075","LCN2;SERPINA1;PDE6A;KDELR3;VLDLR;PPARG",6
"GSE87466","univ_top5","MAOA;ADH6;PPARG;SLC2A3;ADH1C",5
"GSE87466","univ_top10","MAOA;ADH6;PPARG;SLC2A3;ADH1C;SOCS3;TRPM6;PDE6A;PFKFB3;SERPINA1",10
"GSE87466","rf_top5","PDE6A;PPARG;LCN2;VLDLR;ADH6",5
"GSE87466","rf_top10","PDE6A;PPARG;LCN2;ADH6;VLDLR;SERPINA1;SERPING1;TRPM6;MAOA;KDELR3",10
"GSE107499","all","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG",24
"GSE107499","lasso","LCN2;PDE6A;VLDLR",3
"GSE107499","enet_025","DDC;LCN2;RHOU;SOCS3;SERPINA1;CHST2;PDE6A;TRPM6;CATSPERB;SERPING1;KDELR3;VLDLR;PCK1;ADH1C;ADH6;SLC2A3;PPARG",17
"GSE107499","enet_050","LCN2;PDE6A;VLDLR",3
"GSE107499","enet_075","LCN2;PDE6A;KDELR3;VLDLR;ADH6;PPARG",6
"GSE107499","univ_top5","PCK1;ADH1C;SOCS3;SLC2A3;MAOA",5
"GSE107499","univ_top10","PCK1;ADH1C;SOCS3;SLC2A3;MAOA;ADH6;VLDLR;DDC;PPARG;PDE6A",10
"GSE107499","rf_top5","PDE6A;ADH6;PPARG;VLDLR;LCN2",5
"GSE107499","rf_top10","PDE6A;PPARG;ADH6;LCN2;VLDLR;ADH1C;SOCS3;RHOU;SLC2A3;KDELR3",10
