"workflow","selector","classifier","heldout_cohort","auc","n_selector_genes","n_model_genes","error"
"all + glmnet_0","all","glmnet_0","GSE73661",1,24,24,""
"lasso + glmnet_0","lasso","glmnet_0","GSE73661",1,7,7,""
"enet_025 + glmnet_0","enet_025","glmnet_0","GSE73661",1,16,16,""
"enet_050 + glmnet_0","enet_050","glmnet_0","GSE73661",1,18,18,""
"enet_075 + glmnet_0","enet_075","glmnet_0","GSE73661",1,10,10,""
"univ_top5 + glmnet_0","univ_top5","glmnet_0","GSE73661",1,5,5,""
"univ_top10 + glmnet_0","univ_top10","glmnet_0","GSE73661",1,10,10,""
"rf_top5 + glmnet_0","rf_top5","glmnet_0","GSE73661",1,5,5,""
"rf_top10 + glmnet_0","rf_top10","glmnet_0","GSE73661",1,10,10,""
"all + glmnet_0.25","all","glmnet_0.25","GSE73661",1,24,21,""
"lasso + glmnet_0.25","lasso","glmnet_0.25","GSE73661",1,7,7,""
"enet_025 + glmnet_0.25","enet_025","glmnet_0.25","GSE73661",1,16,16,""
"enet_050 + glmnet_0.25","enet_050","glmnet_0.25","GSE73661",1,18,17,""
"enet_075 + glmnet_0.25","enet_075","glmnet_0.25","GSE73661",1,10,10,""
"univ_top5 + glmnet_0.25","univ_top5","glmnet_0.25","GSE73661",1,5,5,""
"univ_top10 + glmnet_0.25","univ_top10","glmnet_0.25","GSE73661",1,10,9,""
"rf_top5 + glmnet_0.25","rf_top5","glmnet_0.25","GSE73661",1,5,5,""
"rf_top10 + glmnet_0.25","rf_top10","glmnet_0.25","GSE73661",1,10,8,""
"all + glmnet_0.5","all","glmnet_0.5","GSE73661",1,24,16,""
"lasso + glmnet_0.5","lasso","glmnet_0.5","GSE73661",1,7,7,""
"enet_025 + glmnet_0.5","enet_025","glmnet_0.5","GSE73661",1,16,13,""
"enet_050 + glmnet_0.5","enet_050","glmnet_0.5","GSE73661",1,18,15,""
"enet_075 + glmnet_0.5","enet_075","glmnet_0.5","GSE73661",1,10,9,""
"univ_top5 + glmnet_0.5","univ_top5","glmnet_0.5","GSE73661",1,5,5,""
"univ_top10 + glmnet_0.5","univ_top10","glmnet_0.5","GSE73661",1,10,9,""
"rf_top5 + glmnet_0.5","rf_top5","glmnet_0.5","GSE73661",1,5,4,""
"rf_top10 + glmnet_0.5","rf_top10","glmnet_0.5","GSE73661",1,10,6,""
"all + glmnet_0.75","all","glmnet_0.75","GSE73661",1,24,23,""
"lasso + glmnet_0.75","lasso","glmnet_0.75","GSE73661",1,7,7,""
"enet_025 + glmnet_0.75","enet_025","glmnet_0.75","GSE73661",1,16,13,""
"enet_050 + glmnet_0.75","enet_050","glmnet_0.75","GSE73661",1,18,14,""
"enet_075 + glmnet_0.75","enet_075","glmnet_0.75","GSE73661",1,10,10,""
"univ_top5 + glmnet_0.75","univ_top5","glmnet_0.75","GSE73661",1,5,5,""
"univ_top10 + glmnet_0.75","univ_top10","glmnet_0.75","GSE73661",1,10,8,""
"rf_top5 + glmnet_0.75","rf_top5","glmnet_0.75","GSE73661",1,5,5,""
"rf_top10 + glmnet_0.75","rf_top10","glmnet_0.75","GSE73661",1,10,7,""
"all + glmnet_1","all","glmnet_1","GSE73661",1,24,13,""
"lasso + glmnet_1","lasso","glmnet_1","GSE73661",1,7,7,""
"enet_025 + glmnet_1","enet_025","glmnet_1","GSE73661",1,16,13,""
"enet_050 + glmnet_1","enet_050","glmnet_1","GSE73661",1,18,14,""
"enet_075 + glmnet_1","enet_075","glmnet_1","GSE73661",1,10,10,""
"univ_top5 + glmnet_1","univ_top5","glmnet_1","GSE73661",1,5,4,""
"univ_top10 + glmnet_1","univ_top10","glmnet_1","GSE73661",1,10,8,""
"rf_top5 + glmnet_1","rf_top5","glmnet_1","GSE73661",1,5,3,""
"rf_top10 + glmnet_1","rf_top10","glmnet_1","GSE73661",1,10,6,""
"all + svm_linear","all","svm_linear","GSE73661",1,24,24,""
"lasso + svm_linear","lasso","svm_linear","GSE73661",1,7,7,""
"enet_025 + svm_linear","enet_025","svm_linear","GSE73661",1,16,16,""
"enet_050 + svm_linear","enet_050","svm_linear","GSE73661",1,18,18,""
"enet_075 + svm_linear","enet_075","svm_linear","GSE73661",1,10,10,""
"univ_top5 + svm_linear","univ_top5","svm_linear","GSE73661",1,5,5,""
"univ_top10 + svm_linear","univ_top10","svm_linear","GSE73661",1,10,10,""
"rf_top5 + svm_linear","rf_top5","svm_linear","GSE73661",1,5,5,""
"rf_top10 + svm_linear","rf_top10","svm_linear","GSE73661",1,10,10,""
"all + svm_radial","all","svm_radial","GSE73661",1,24,24,""
"lasso + svm_radial","lasso","svm_radial","GSE73661",1,7,7,""
"enet_025 + svm_radial","enet_025","svm_radial","GSE73661",1,16,16,""
"enet_050 + svm_radial","enet_050","svm_radial","GSE73661",1,18,18,""
"enet_075 + svm_radial","enet_075","svm_radial","GSE73661",1,10,10,""
"univ_top5 + svm_radial","univ_top5","svm_radial","GSE73661",1,5,5,""
"univ_top10 + svm_radial","univ_top10","svm_radial","GSE73661",1,10,10,""
"rf_top5 + svm_radial","rf_top5","svm_radial","GSE73661",1,5,5,""
"rf_top10 + svm_radial","rf_top10","svm_radial","GSE73661",1,10,10,""
"all + rf","all","rf","GSE73661",1,24,24,""
"lasso + rf","lasso","rf","GSE73661",1,7,7,""
"enet_025 + rf","enet_025","rf","GSE73661",1,16,16,""
"enet_050 + rf","enet_050","rf","GSE73661",1,18,18,""
"enet_075 + rf","enet_075","rf","GSE73661",1,10,10,""
"univ_top5 + rf","univ_top5","rf","GSE73661",1,5,5,""
"univ_top10 + rf","univ_top10","rf","GSE73661",1,10,10,""
"rf_top5 + rf","rf_top5","rf","GSE73661",1,5,5,""
"rf_top10 + rf","rf_top10","rf","GSE73661",1,10,10,""
"all + gbm","all","gbm","GSE73661",1,24,24,""
"lasso + gbm","lasso","gbm","GSE73661",1,7,7,""
"enet_025 + gbm","enet_025","gbm","GSE73661",1,16,16,""
"enet_050 + gbm","enet_050","gbm","GSE73661",1,18,18,""
"enet_075 + gbm","enet_075","gbm","GSE73661",1,10,10,""
"univ_top5 + gbm","univ_top5","gbm","GSE73661",1,5,5,""
"univ_top10 + gbm","univ_top10","gbm","GSE73661",1,10,10,""
"rf_top5 + gbm","rf_top5","gbm","GSE73661",1,5,5,""
"rf_top10 + gbm","rf_top10","gbm","GSE73661",1,10,10,""
"all + lda","all","lda","GSE73661",1,24,24,""
"lasso + lda","lasso","lda","GSE73661",1,7,7,""
"enet_025 + lda","enet_025","lda","GSE73661",1,16,16,""
"enet_050 + lda","enet_050","lda","GSE73661",1,18,18,""
"enet_075 + lda","enet_075","lda","GSE73661",1,10,10,""
"univ_top5 + lda","univ_top5","lda","GSE73661",1,5,5,""
"univ_top10 + lda","univ_top10","lda","GSE73661",1,10,10,""
"rf_top5 + lda","rf_top5","lda","GSE73661",1,5,5,""
"rf_top10 + lda","rf_top10","lda","GSE73661",1,10,10,""
"all + naive_bayes","all","naive_bayes","GSE73661",1,24,24,""
"lasso + naive_bayes","lasso","naive_bayes","GSE73661",1,7,7,""
"enet_025 + naive_bayes","enet_025","naive_bayes","GSE73661",1,16,16,""
"enet_050 + naive_bayes","enet_050","naive_bayes","GSE73661",1,18,18,""
"enet_075 + naive_bayes","enet_075","naive_bayes","GSE73661",1,10,10,""
"univ_top5 + naive_bayes","univ_top5","naive_bayes","GSE73661",1,5,5,""
"univ_top10 + naive_bayes","univ_top10","naive_bayes","GSE73661",1,10,10,""
"rf_top5 + naive_bayes","rf_top5","naive_bayes","GSE73661",1,5,5,""
"rf_top10 + naive_bayes","rf_top10","naive_bayes","GSE73661",1,10,10,""
"all + glmboost","all","glmboost","GSE73661",1,24,9,""
"lasso + glmboost","lasso","glmboost","GSE73661",1,7,8,""
"enet_025 + glmboost","enet_025","glmboost","GSE73661",1,16,9,""
"enet_050 + glmboost","enet_050","glmboost","GSE73661",1,18,8,""
"enet_075 + glmboost","enet_075","glmboost","GSE73661",1,10,8,""
"univ_top5 + glmboost","univ_top5","glmboost","GSE73661",1,5,5,""
