"workflow","heldout_cohort","selector_genes","model_genes"
"all + glmnet_0","GSE73661","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG"
"lasso + glmnet_0","GSE73661","LCN2;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;PPARG","LCN2;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;PPARG"
"enet_025 + glmnet_0","GSE73661","LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;VLDLR;ADH6;PFKFB3;SLC2A3;PPARG","LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;VLDLR;ADH6;PFKFB3;SLC2A3;PPARG"
"enet_050 + glmnet_0","GSE73661","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG"
"enet_075 + glmnet_0","GSE73661","LCN2;SOCS3;SERPINA1;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;SLC2A3;PPARG","LCN2;SOCS3;SERPINA1;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;SLC2A3;PPARG"
"univ_top5 + glmnet_0","GSE73661","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6"
"univ_top10 + glmnet_0","GSE73661","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6;PPARG;SOCS3;CHST2;MAOA;PCK1","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6;PPARG;SOCS3;CHST2;MAOA;PCK1"
"rf_top5 + glmnet_0","GSE73661","PDE6A;PPARG;LCN2;ADH1C;ADH6","PDE6A;PPARG;LCN2;ADH1C;ADH6"
"rf_top10 + glmnet_0","GSE73661","PDE6A;LCN2;PPARG;ADH6;ADH1C;KDELR3;SERPINA1;SERPING1;RHOU;SLC2A3","PDE6A;LCN2;PPARG;ADH6;ADH1C;KDELR3;SERPINA1;SERPING1;RHOU;SLC2A3"
"all + glmnet_0.25","GSE73661","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG","DDC;TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG"
"lasso + glmnet_0.25","GSE73661","LCN2;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;PPARG","LCN2;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;PPARG"
"enet_025 + glmnet_0.25","GSE73661","LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;VLDLR;ADH6;PFKFB3;SLC2A3;PPARG","LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;VLDLR;ADH6;PFKFB3;SLC2A3;PPARG"
"enet_050 + glmnet_0.25","GSE73661","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;SLC2A3;PPARG"
"enet_075 + glmnet_0.25","GSE73661","LCN2;SOCS3;SERPINA1;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;SLC2A3;PPARG","LCN2;SOCS3;SERPINA1;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;SLC2A3;PPARG"
"univ_top5 + glmnet_0.25","GSE73661","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6"
"univ_top10 + glmnet_0.25","GSE73661","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6;PPARG;SOCS3;CHST2;MAOA;PCK1","SLC2A3;ADH6;ADH1C;PDE6A;TRPM6;PPARG;SOCS3;CHST2;PCK1"
"rf_top5 + glmnet_0.25","GSE73661","PDE6A;PPARG;LCN2;ADH1C;ADH6","PDE6A;PPARG;LCN2;ADH1C;ADH6"
"rf_top10 + glmnet_0.25","GSE73661","PDE6A;LCN2;PPARG;ADH6;ADH1C;KDELR3;SERPINA1;SERPING1;RHOU;SLC2A3","PDE6A;LCN2;PPARG;ADH6;KDELR3;SERPINA1;SERPING1;SLC2A3"
"all + glmnet_0.5","GSE73661","DDC;TSPAN7;LCN2;RHOU;SOCS3;ANXA1;SERPINA1;CHST2;FGR;PDE6A;TRPM6;CATSPERB;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;MAOA;ADH1C;ADH6;PFKFB3;SLC2A3;PPARG","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG"
"lasso + glmnet_0.5","GSE73661","LCN2;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;PPARG","LCN2;PDE6A;SERPING1;KDELR3;VLDLR;ADH6;PPARG"
"enet_025 + glmnet_0.5","GSE73661","LCN2;RHOU;SOCS3;SERPINA1;CHST2;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;VLDLR;ADH6;PFKFB3;SLC2A3;PPARG","LCN2;RHOU;SOCS3;SERPINA1;TRPM6;MOGAT2;SERPING1;KDELR3;VLDLR;ADH6;PFKFB3;SLC2A3;PPARG"
"enet_050 + glmnet_0.5","GSE73661","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;FGR;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;PFKFB3;SLC2A3;PPARG","TSPAN7;LCN2;RHOU;SOCS3;SERPINA1;PDE6A;TRPM6;MOGAT2;SERPING1;KDELR3;ME1;VLDLR;PCK1;ADH6;SLC2A3"
