"workflow","selector","classifier","mean_auc","median_auc","min_auc","sd_auc","successful_cohorts"
"all + glmnet_0","all","glmnet_0",0.986928702493935,0.991130132260598,0.965454545454545,0.0149184529977337,4
"enet_025 + glmnet_0","enet_025","glmnet_0",0.985386055466041,0.98804483820481,0.965454545454545,0.0145351926167775,4
"all + glmnet_0.25","all","glmnet_0.25",0.985185838374605,0.989765616143149,0.961212121212121,0.0171413743035797,4
"all + svm_linear","all","svm_linear",0.984509487234336,0.985079580529278,0.967878787878788,0.0152280058030211,4
"rf_top10 + glmnet_0","rf_top10","glmnet_0",0.984465269986955,0.988475994519365,0.960909090909091,0.0170025807019826,4
"enet_025 + glmnet_0.25","enet_025","glmnet_0.25",0.984187552483855,0.987617529210135,0.961515151515152,0.0170151155896201,4
"enet_075 + glmnet_0","enet_075","glmnet_0",0.984149743588954,0.992693426571848,0.951212121212121,0.0222274579428866,4
"all + rf","all","rf",0.983355719605275,0.989135681634793,0.955151515151515,0.0196807347304312,4
"all + glmnet_0.75","all","glmnet_0.75",0.983327603391592,0.987261267389245,0.958787878787879,0.0174696681920937,4
"enet_025 + svm_linear","enet_025","svm_linear",0.982575556232684,0.986211718525974,0.957878787878788,0.0188029476792062,4
"enet_025 + rf","enet_025","rf",0.982487680881744,0.988157179945306,0.953636363636364,0.0206618210796875,4
"all + lda","all","lda",0.982483076922288,0.992693426571848,0.944545454545455,0.0255256817832517,4
"rf_top10 + svm_linear","rf_top10","svm_linear",0.982428085896803,0.986522838460272,0.956666666666667,0.0188099181200316,4
"all + svm_radial","all","svm_radial",0.982401350870956,0.99237845931767,0.944848484848485,0.0254886339572244,4
"rf_top10 + naive_bayes","rf_top10","naive_bayes",0.981852003607247,0.9847646132751,0.957878787878788,0.0180645921955355,4
"enet_025 + glmnet_0.5","enet_025","glmnet_0.5",0.981732209608143,0.985585631337498,0.955757575757576,0.0192793100322187,4
"all + glmnet_0.5","all","glmnet_0.5",0.981717349976326,0.988434699952652,0.95,0.0218422830118283,4
