List 1,List 2,List 1|List 2
PDE6A,ACTB,PPARG
ADH6,ACTC1,
LCN2,ANGPTL4,
VLDLR,APOE,
SLC2A3,B4GALT1,
TRPM6,BCL10,
KDELR3,CCL2,
,CCL20,
,CCR6,
,CD2AP,
,CDK4,
,CDKN1A,
,CGN,
,CLDN1,
,CLDN14,
,CLDN4,
,CLGN,
,CNKSR3,
,COX1,
,CPSF2,
,CXCL1,
,CXCL10,
,CXCL5,
,CXCL6,
,CXCL8,
,CXCR3,
,CXCR6,
,CYP7A1,
,DEFB4A,
,DUOX2,
,ENO1,
,ENO1-IT1,
,F11R,
,FABP2,
,FFAR2,
,FOS,
,FOXP3,
,GLP1R,
,GOT1,
,GPBAR1,
,GPT,
,HCAR2,
,HDAC3,
,HK2,
,HNF4A,
,Htr1a,
,IFNG,
,IKBKE,
,IL10,
,IL11,
,IL12A,
,IL12B,
,IL17A,
,IL18,
,IL1A,
,IL1B,
,IL2,
,IL22RA2,
,IL24,
,IL4,
,IL5,
,IL6,
,IRAK1,
,IRAK4,
,ITCH,
,JUN,
,JUP,
,LDHA,
,LEP,
,LPA,
,MAGI3,
,MAPK1,
,MAPK14,
,MGAT3,
,MGAT4A,
,MGAT4B,
,MIR146A,
,MIR155,
,MUC1,
,MUC2,
,MYD88,
,NBPF13P,
,NFKB1,
,NR1H4,
,OCLN,
,PALS1,
,PARD6B,
,PDCD6IP,
,PGP,
,PLIN2,
,PRKCZ,
,PTGER3,
,PTGS2,
,RELA,
,RMRP,
,RNR1,
,RORA,
,SLC19A2,
,SLC19A3,
,SLC26A3,
,SLC5A8,
,SLC9A3,
,SNAI1,
,ST6GAL1,
,TAB2,
,TGFB1,
,TJP1,
,TJP2,
,TJP3,
,TLR2,
,TLR4,
,TLR5,
,TLR6,
,TNF,
,VCL,
,VEGFA,
