celltype	Gene	correlation	pvalue
aDC	PPARG	-0.692937225411442	5.9482682068997e-36
Adipocytes	PPARG	-0.0118150592770306	0.222237895086708
Astrocytes	PPARG	-0.593032734777202	2.0324914038736e-27
B-cells	PPARG	-0.496923219751146	3.28128332265765e-15
Basophils	PPARG	-0.149139976749902	0.150208033184875
CD4+ memory T-cells	PPARG	-0.400261366541449	1.63591845005323e-11
CD4+ naive T-cells	PPARG	-0.537343733875448	1.26824766681963e-21
CD4+ T-cells	PPARG	-0.275856085688594	6.80357616432651e-09
CD4+ Tcm	PPARG	0.050012762929307	0.087217558703382
CD4+ Tem	PPARG	0.0270861592801471	0.0165456126780841
CD8+ naive T-cells	PPARG	0.480139072735646	4.98221557755714e-16
CD8+ T-cells	PPARG	-0.438861041804255	3.02713451485163e-14
CD8+ Tcm	PPARG	-0.454942081396645	1.10591919451551e-13
CD8+ Tem	PPARG	-0.253808136391907	3.20981070614694e-11
cDC	PPARG	-0.573147662034485	5.04043597280236e-23
Chondrocytes	PPARG	-0.380089169619199	1.21004366229338e-13
Class-switched memory B-cells	PPARG	-0.489938682074385	7.65664611111067e-22
CLP	PPARG	0.159782784867818	0.000105744655533395
CMP	PPARG	0.217426609281665	2.38578332226852e-07
DC	PPARG	-0.489708014211561	1.16340383227205e-17
Endothelial cells	PPARG	-0.600504345254164	3.08088287339618e-21
Eosinophils	PPARG	0.359121271035098	2.36560488153286e-13
Epithelial cells	PPARG	0.536390315466655	3.70537263522288e-20
Erythrocytes	PPARG	0.22649377463877	4.59671006741157e-09
Fibroblasts	PPARG	-0.525561101027667	8.1416679496469e-22
GMP	PPARG	-0.0806182178700188	0.00786018328018793
Hepatocytes	PPARG	-0.0665706299465285	0.0227974602280452
HSC	PPARG	-0.505679159028893	4.75028531611297e-16
iDC	PPARG	-0.0850371280869823	0.00373858496198246
Keratinocytes	PPARG	-0.0446568079165529	0.50348020318404
ly Endothelial cells	PPARG	-0.517872687348039	2.6270892975391e-16
Macrophages	PPARG	0.0496526157285338	0.974340313300669
Macrophages M1	PPARG	-0.242624389615001	2.41893994613265e-08
Macrophages M2	PPARG	0.191824512089396	1.3733844901053e-08
Mast cells	PPARG	-0.494858465080939	1.33453980570614e-18
Megakaryocytes	PPARG	-0.693403383282278	2.06295163089141e-39
Melanocytes	PPARG	-0.558693191623418	2.79599098512761e-23
Memory B-cells	PPARG	-0.436839397503189	2.06251409045390e-12
MEP	PPARG	0.431243897354978	1.00162201566581e-18
Mesangial cells	PPARG	-0.0874145426504214	0.00761277185132561
Monocytes	PPARG	-0.54396395716599	2.10092982054337e-23
MPP	PPARG	-0.073432111179899	0.453192573663648
MSC	PPARG	-0.0167223144232315	0.735075249143413
mv Endothelial cells	PPARG	-0.635710930328292	2.20751896860574e-23
Myocytes	PPARG	0.343670767883409	7.54384780471644e-14
naive B-cells	PPARG	-0.338720969283229	1.44713327633255e-09
Neurons	PPARG	0.256064039875398	8.61937006684309e-10
Neutrophils	PPARG	-0.407740757472606	3.56612066887548e-15
NK cells	PPARG	0.229585045263874	3.77834867468922e-08
NKT	PPARG	0.133428960563052	0.00021792753244763
Osteoblast	PPARG	0.488327464064156	1.06271593167172e-25
pDC	PPARG	-0.300221849749677	1.02582320203236e-08
Pericytes	PPARG	-0.509033822958003	3.1129775162232e-16
Plasma cells	PPARG	-0.593212750767992	6.81474741911665e-30
Platelets	PPARG	-0.0906175542614011	0.971237574260351
Preadipocytes	PPARG	-0.638452267268954	3.46656496510397e-36
pro B-cells	PPARG	-0.172367847385938	0.000140835226176323
Sebocytes	PPARG	-0.153506842057376	8.93510964608975e-05
Skeletal muscle	PPARG	-0.26798550661754	1.92751601827497e-15
Smooth muscle	PPARG	0.0787713160319399	0.00360916270388702
Tgd cells	PPARG	0.0299798473068182	0.985731012098955
Th1 cells	PPARG	-0.0900814686384949	0.57534249118706
Th2 cells	PPARG	-0.320605539234181	5.11395258453192e-07
Tregs	PPARG	-0.482770456904658	2.47469174652974e-25
ImmuneScore	PPARG	-0.626710513513628	5.0284043496355e-25
StromaScore	PPARG	-0.615440050218432	1.18443207439257e-23
MicroenvironmentScore	PPARG	-0.683529368060763	1.81439166357096e-32
